tr	ota
taz	طزع
yüreği katı	يورگي قاتي
secde-i şükür	سجدۀ شكر
tasrid	تصريد
ibrak	ابراق
kızıştırmak	قيزيشديرمق
kimya göçümü	كيميا گوچومي
iddisar	ادثار
gülüşmek	گولوشمك
anaül-leyl	آناء الليل
tam pansiyon	تام پانسييون
zıkki	زقي
muir	معير
kentilyon	كنتيليون
sözlendirici	سوزلنديريجي
yörükan-ı araç	يوركان آراج
zevat	ذوات
humret-i şafak	حمرت شفق
alto	آلطو
yıktırılmak	ييقديريلمق
tıkça	دقجه
mey-hoş	ميخوش
umutlandırma	اوموتلانديرمه 
markalı	مارقه لي
mütesabbır	متصبر
leym	ليم
aşkale	آشقلعه
hakk-binane	حق بينانه
şefe	شفه
tırnova	طرنوه
tanga	طانغه
lambalık	لامبه لق
ılgım	ايلغيم
tevahhuş etmek	توحش ايتمك
tara	تارا
fırttırma	فيرتديرمه 
bezelye	بزليه
maymun iştahlı	مايمون اشتهالي
ecir	اجر
kastanyola	قاستانيوله
sayvan	سايبان
törehan	توره خان
kemikli	كميكلي
sahibül-burhan	صاحب البرهان
haybeci	هايبه جي
akab	عقب
pergem	پرگم
defterci	دفترجي
nasfet	نصفت
bahtever	باخته ور
cuudet	جعودت
maliş-ger	مالشگر
davahis-seb	ضواحي السبع
kafur	كافور
telahuz	تلاحظ
mezheb	مذهب
füyak	فياق
tatrib	تطريب
inan-riz	عنانريز
husve	خسوه
nim-şeb	نيم شب
teatufat	تعاطفات
ail	عائل
şemate	شماته
evy	اوي
yapma çiçek	ياپمه چيچك
tecmil	تجميل
pey-ender-pey	پي اندر پي
müstmendane	مستمندانه
yazmanlık	يازمانلق
müddea	مدعا 
sebuiyet	سبعيت
sürh	سرح
çetr-i nur	چتر نور
sabae	صبائه
ülser	أولسر
yerelleştirmek	يرللشديرمك
rasas-ı müzab	رصاص مذاب
tamerkin	تام أركين
ev	او
biraderzade	برادرزاده
ahyan	احيان
irabet	ارابت
yalapşap	يالاپ شاپ
fasa fiso	فاصه فيسو
valibe	والبه
layemut	لايموت
berhur-dar	برخوردار
galis	غليس
tecr	تجر
kuyruk yağı	قويروق ياغي
intac	انتاج
füvve	فوه
ticaret işletmesi	تجارت ايشلتمه سي
amir-i vicdani	آمر وجداني
müze	موزه
şereflendirme	شرفلنديرمه
kömüren	كومورن
amak	اعماق
mütehaşşi	متخشي
sehhare	سحاره
kavuruş	قاووروش
regaib gecesi	رغائب گيجه سي
andantino	آندانتينو
açısal hız	آچيسال خيز
abiye	آبييه
tecezzüv	تجزو
alkolölçer	آلقول أولچر
ashab-ı devlet	اصحاب دولت
güc	گوج
çubukluk	چوبوقلق
tebelbül	تبلبل
özentisiz	أوزنتيسز
iç yüz	ايچ يوز
irsas	ارثاث
pas-bani	پاسباني
şemseddin sami	شمس الدين سامي
bolşevik	بولشه ويك
töresel	توره سل
sarsıcı	صارصيجي
mütemellık	متملق
süruşan	سروشان
arusan	عروسان
makbız	مقبض
zank	ضنك
kutbiye	قطبيه
tırmıklanmak	طيرميقلانمق
kaçan	قاچان
telyin-i hadid	تليين حديد
ırza-i gayr-i maderi	ارضاع غير مادري
bölümlendirme	بولوملنديرمه
busi	بوسي
gemerek	گمرك
müskal	مثقل
zebb	ذب
biçem	بيچم
kömeç	كومچ
koful	قوفول
derya-feyz	دريافيض
ehval-i muhavvifane	اهوال مخوفانه
organik kütle	اورغانيك كتله
pür-gazab	پرغضب
teati etmek	تعاطي ايتمك
suhnan	سخنان
etioloji	اتيئولوژي
geçer	گچر
inatlaşmak	عنادلاشمق
otoban	اوطوبان
pehpeh	په په
cila-bahş	جلا بخش
demokrasi	دموقراسي
takvim-hane	تقويمخانه
dil-tengi	دلتنگي
astronom	آصترونوم
tazir	تعذير
nişane-i tasdik	نشانۀ تصديق
nedib	نديب
aylıkçı	آيلقجي
namaz kılmak	نماز قيلمق
yevm-i tenad	يوم تناد
delil-i nakli	دليل نقلي
ersunal	ارصونال
topaklanma	طوپاقلانمه 
barik-nüma	بارقنما
hilat-i fahire	خلعت فاخره
sakf	سقف
yer altı çarşısı	ير آلتي چارشيسي
gitgide	گيت گيده
asit fenik	آسيت فنيك
akvas	اقواس
kase-i ser	كاسۀ سر
edveş	ادوش
minkale	منقله
sahil	ساحل
tavukpençesi	طاووق پنچه سي
makus	معكوس
yıkama	ييقامه 
iyas	اياس
burdur	بوردور
bağlaşmak	باغلاشمق
atomal	آطومال
kazıklamak	قازيقلامق
domuzlaşma	طوموزلاشمه 
ünan	انان
duvar resmi	ديوار رسمي
medeniyetçilik	مدنيتجيلك
geçinmek	گچينمك
kıssa	قصه
ezl	ازل
suhk	سحق
bora	بوره
matalil	مطاليل
tehattuf	تخطف
nitekim	نيته كيم
nüvvar	نوار
gergete	گرگته
sefr	ثفر
felah	فلاح
uğuldamak	اوغولدامق
devralma	دور آلمه 
şenyaşar	شن ياشار
müvarre	مواره
sürr	سر
muhab	مهاب
erbah	ارباح
hukukçu	حقوقجي
hırka-i saadet dairesi	خرقۀ سعادت دائره سي
maşıta	ماشطه
fial	فعال
mühendis	مهندس
gerden-keş	گردنكش
diktirme	ديكديرمه
puflamak	پوفلامق
sem-i hikmet	سمع حكمت
mevrude	موروده
vazetme	وضع ايتمه
sertel	سرت أل
şehacir	شهاجر
hazırlamak	حاضرلامق
tahavvür	تحور
efsürde-dil	افسرده دل
şah	شاخ
kahharane	قهارانه
müteleyyis	متليث
yek-reh	يكره
hizem-keş	هيزمكش
oğlan	اوغلان
ugluta	اغلوطه
parıldama	پاريلدامه 
nüfuş	نفوش
zekik	زكيك
bildiri	بيلديري
çarşaflatmak	چارشافلاتمق
paralel kaidesi	پارالل قاعده سي
mürechan	مرجحن
reddeylemek	رد ايله مك
pür-çin	پرچين
memut	مموت
horoz şekeri	خوروز شكري
irman	ارمان
rev	رو
alem-i mana	عالم معنا
hidrojenlemek	هيدروژنله مك
kıçtankara	قيچدن قره
hakayık-ı nisbiye	حقايق نسبيه
büzbun	بزبون
mesai yapmak	مساعي ياپمق
öğütülmek	أوگوتولمك
koyu	قويو
tek seslilik	تك سسليلك
sulla	صلع
giyecek	گييه جك
onursan	اونور صان
amediye	آمديه
yükseklik	يوكسكلك
özgeci	أوزگه جي
antikomünist	آنتي قومونيست
sülfamit	سولفاميت
bakır	باقير
istirahat	استراحت
diliş	ديليش
tefen	تفن
zıyk	ضيق
şenlendirilme	شنلنديريلمه
mırlama	ميرلامه 
tabiun	تابعون
yazık etmek	يازيق ايتمك
azıklık	آزيقلق
heyban	هيبان
şibh-i beşere	شبه بشره
münzevi	منزوي
bergab	برغاب
ürne	ارنه
bizzat	بالذات
yansıtma	يانسيتمه 
oğuş	اوغوش
ağıtçı	آغيتجي
natm	نطم
hayr-hah	خيرخواه
bomboş	بوم بوش
şicab	شجاب
tahsisli	تخصيصلي
kehribarcı	كهربارجي
bittahrik	بالتحريك
beyincik	بينجك
dıms	دمص
vişn-ab	وشناب
şahz	شحذ
ettun	اتون
kaparosuz	قپاروسز
atraksiyon	آتراقسييون
şevbec	شوبج
ma	ما
soldurmak	صولديرمق
telahi	تلاهي
bataet	بطائت
kromoplast	قروموپلاست
burtlak	بورتلاق
samekmek	صمكمك
ziriba	ذريبا
teşemmür	تشمر
baziki	بازيكي
fanid	فاند
medhuşane	مدهوشانه
erbin	اربين
rekat-ı saniye	ركعت ثانيه
hatut	حطوط
yetişkin eğitimi	يتيشكين أگيتيمي
eşek davası	اشك دعواسي
kerizci	كريزجي
çilenmek	چيگلنمك
emun	امون
musannifin	مصنفين
racin	راجن
albenili	آل بنيلي
makaslanma	مقاصلانمه 
darekutni	دارقطني
zahl	ذحل
zerbe	ذربه
meliha	مليحه
lor	لور
tahlee	طهلئه
şebahet	شباهت
tekrarlanmak	تكرارلانمق
istimbot	ايستيمبوط
çerçeveleme	چرچوه له مه
konsolide	قونصوليده
kavuşursu yosunları	قاووشورسي يوصونلر
